Character,Sentence
鄧不利多,我早該知道你會在這裡，麥教授。
麥教授,晚上好，鄧不利多教授。
麥格,謠言是真的嗎，阿不思？
鄧不利多,恐怕是這樣，教授。
鄧不利多,好與壞。
麥格,那男孩呢？
麥格,你認為把這麼重要的事情託付給海格明智嗎？
鄧不利多,啊，教授，我願意將我的生命託付給海格。
鄧不利多,沒問題，我相信，海格？
海格,當我們飛越布里斯托時，小傢伙睡著了。
麥格,我看了他們一整天。
麥格,他們是可以想像到的最糟糕的麻瓜。
麥格,這個男孩將會出名。
麥格,我們的世界上不會有一個孩子不知道他的名字。
鄧不利多,遠離這一切，他的成長要好得多。
鄧不利多,直到他準備好為止。
鄧不利多,畢竟，這並不是真正的再見。
佩妮,現在！
達德利,醒醒吧，表弟！
潘妮,他來了，生日男孩。
潘妮,你為什麼不直接做早餐呢，並且盡量不要燒焦任何東西。
佩妮,我希望我的達力的特殊日子一切都完美！
潘妮,親愛的，它們不是很棒嗎？
達德利,有多少人？
潘妮,哦，現在，現在，現在。
佩妮,這就是我們要做的…
潘妮,我們出去的時候，我們要買兩件新禮物給你。
佩妮,怎麼樣，南瓜？
佩妮,在動物園裡這應該是美好的一天。
佩妮,我真的很期待。
哈利,只是，我以前從未和蛇說過話。
哈利,那兒好嗎？
哈利,我也不認識我的父母。
潘妮,我親愛的孩子！
潘妮,你是怎麼進去的？
潘妮,這是誰幹的？
潘妮,你是怎麼進去的？
佩妮,有蛇嗎？
潘妮,沒關係，親愛的。
潘妮,我們會讓你脫掉這些冷衣服的。
佛農,發生什麼事了？
哈利,前一分鐘玻璃還在那裡，然後就消失了，就像魔法一樣。
佛農,世界上不存在魔法這樣的東西。
佩妮,微笑吧！
潘妮,我簡直不敢相信！
潘妮,一週後，他就要去斯梅爾廷斯了。
潘妮,別這麼傻！
潘妮,你要去公立學校。
佩妮,這就是我染完之後你會穿的。
哈利,它會像舊大像皮一樣適合我。
佩妮,它很適合你。
佩妮,去拿郵件吧。去！
潘妮,親愛的，祝你在辦公室度過愉快的一天。
弗農,在我看來，這是一周中最好的一天。
佛農,不，先生，沒有一個被詛咒的，悲慘的......
佛農,就是這樣！
佛農,我要求您立即離開，先生！
海格,當然，你了解霍格華茲的一切。
海格,我敢打賭，一旦你受過一點訓練，一定會是個非常棒的。
哈利,你一直都知道卻從來沒有告訴我？
佩妮,我們當然知道。
潘妮,你怎麼可能不是？
潘妮,我完美的妹妹就是她。
潘妮,當她收到信的那天，我的父母非常自豪。
佩妮,我們家有一個女巫。
佩妮,“這不是很棒嗎？”“”
潘妮,我是唯一一個看到她真實面目的人。
潘妮,一個怪胎！
佩妮,然後她遇到了那個波特，然後她有了你…
佩妮,同樣奇怪，同樣不正常。
潘妮,然後，如果你願意的話，她就去把自己炸了！
潘妮,我們和你一起降落了。
佩妮,我們必須說點什麼。
海格,這個男孩從出生就被記下來了。
佛農,我不會付錢請某個瘋狂的老傻瓜教他魔術。
海格,哦，嗯，如果你沒有告訴霍格華茲的任何人這件事，我會很感激。
海格,嚴格來說，我不會施展魔法。
海格,當然，除非你願意留下來。
海格,如果你知道要去哪裡的話。
奇洛,並不是說你需要它，呃，波特？
海格,是的，好吧，現在必須走了。
哈利,但是我為什麼出名呢，海格？
海格,我不確定我是不是告訴你這件事的合適人選，哈利。
哈利,但是，海格，我該如何支付這一切費用呢？
海格,好吧，這是你的錢，哈利。
海格,妖精雖然聰明，但不是最友善的野獸。
海格,沒想到你的媽媽和爸爸會什麼都沒有留給你，是嗎？
海格,沒有比這裡更好的地方了。
奧利凡德,我想知道什麼時候能見到你，波特先生。
奧利凡德,你的父母在這裡購買他們的第一根魔杖，彷彿就在昨天。
奧利凡德,不，不，絕對不。
哈利,抱歉，但是有什麼奇怪的呢？
奧利凡德,我記得我賣過的每一根魔杖，波特先生。
奧利凡德,碰巧，尾羽插在你魔杖裡的鳳凰又給了另一根羽毛。
奧利凡德,奇怪的是，當它的兄弟給了你那道傷疤時，你注定要擁有這根魔杖。
哈利,那根魔杖是誰的？
奧利凡德,我們不提他的名字。
奧利凡德,魔杖選擇了巫師，波特先生。
奧利凡德,原因並不總是清楚。
奧利凡德,但我認為很明顯，我們可以從你身上期待偉大的事情。
奧利凡德,畢竟，那個連名字都不能提的人做了偉大的事。
海格,你看起來很安靜。
海格；首先，要理解這個哈利，因為它非常重要,
海格,幾年前，有一個巫師，他變得非常糟糕。
哈利,也許你把它寫下來？
海格,任何反抗他的人都死了。
海格,但是一旦他決定殺了他們，就沒有人活下來了。
海格,除了你。
海格,這樣的印記只能來自於被詛咒觸碰，而且是邪惡的詛咒。
海格,不，我想他在外面還是太累了，無法繼續下去。
海格,但是有一件事是絕對確定的。
海格,那天晚上你身上的某些東西讓他難住了。
海格,這就是你出名的原因。
海格,你是活下來的男孩。
哈利,沒有這樣的事，是嗎？
衛斯理太太,這也是榮恩第一次來霍格華茲。
衛斯理太太,你要做的就是沿著9號月台和10號月台之間的牆壁直走。
羅恩,有巧克力和薄荷，還有菠菜、肝臟和牛肚。
羅恩,這只是一個咒語。
榮恩,哦，運氣真倒楣。
妙麗,哦，你在施魔法嗎？
妙麗,那我們來看看吧。
妙麗,你確定那是真的咒語嗎？
妙麗,呃，這不太好，是嗎？
妙麗,當然，我自己只嘗試過一些簡單的方法，但它們都對我有用。
妙麗；例如,
妙麗,那你是…？
妙麗,順便說一句，你鼻子上有髒東西。
妙麗,就在那裡。
麥格,現在，過一會兒，你就會穿過這些門，與你的同學會合。
麥格,但是在你們就座之前，你們必須被分到你們的房間。
麥格,現在，當你在這裡的時候，你的房子就像你的家人一樣。
麥格,你的勝利將為你贏得積分。
麥格,任何違反規則的行為，你都會失分。
麥格,分院儀式馬上開始。
馬份,那他們在火車上說的都是真的。
馬份,這是克拉布和高爾。
馬份,你一定是衛斯理家的人。
馬份,我們很快就會發現有些巫師家庭比其他家庭好，波特。
馬份,你不想和錯誤的人交朋友。
馬份,我可以幫你。
哈利,我想我自己能分辨出錯誤的類型，謝謝。
妙麗,天花板不是真的。
妙麗；我在《霍格華茲,一部歷史》中讀到這件事。
麥格,好吧，請你在這裡等一下好嗎？
麥格,現在，在我們開始之前，鄧不利多教授想說幾句話。
鄧不利多,我有一些開學通知要宣布。
鄧不利多,一年級的學生請注意，黑暗森林嚴禁所有學生進入。
鄧不利多,另外，我們的看門人費爾奇先生讓我提醒你，右手邊的三樓走廊對於所有不想遭受最痛苦死亡的人來說都是禁區。
鄧不利多,謝謝你。
麥格,當我叫你的名字時，你就會出現。
麥格,我會把分院帽戴在你頭上，你將被分入你的學院。
鄧不利多,盛宴開始吧。
哈利,餵，派西，和奇洛教授說話的那個老師是誰？
珀西,哦，那是石內卜教授，史萊哲林學院院長。
波西,但眾所周知，他喜歡的是黑魔法。
妙麗,差點沒頭了？
珀西,這是通往宿舍最直接的道路。
珀西,哦，注意樓梯。
波西,請跟上，跟我來。
波西,快點，來吧。快點。
派西,大家跟我來。趕上。
波西,快點，快點。
波西,歡迎來到葛萊分多公共休息室。
波西,女孩們，你們右邊也一樣。
波西,你會發現你的東西已經被拿來了。
麥格,謝謝你的評價，衛斯理先生。
麥格,也許，如果我把波特先生和你自己變成一隻懷錶會更有用。
麥格,這樣一來，你們中的一個人就可能準時了。
麥格,那也許是一張地圖？
麥格,我相信你不需要有人來找到你的座位。
石內卜,這堂課上不會有愚蠢的揮舞魔杖或愚蠢的咒語。
石內卜,因此，我不指望你們中的許多人能夠欣賞魔藥製作中的微妙科學和精確藝術。
石內卜,然而，對於那些少數擁有這種傾向的人，我可以教你如何迷惑心靈並誘騙感官。
石內卜,我可以告訴你如何裝瓶名譽釀造榮耀，甚至塞上死亡的塞子。
石內卜,話又說回來，也許你們中的一些人來到霍格華茲就擁有如此強大的能力，以至於你有足夠的信心去不去注意。
石內卜,告訴我，如果我在艾草浸泡液中加入水仙根粉，會得到什麼？
石內卜,你不知道嗎？好吧，讓我們再試一次。
石內卜,波特先生，如果我要你幫我找一塊牛黃，你會看哪裡？
石內卜,附子和狼毒有什麼差別？
石內卜,顯然，名氣不是一切，波特先生？
石內卜,把手放下，你這個傻女孩！
石內卜,水仙和艾草製成的安眠藥水非常強大，被稱為「活死人藥水」。
石內卜,牛黃是從山羊胃裡取出的一塊石頭，它可以保護你免受大多數毒物的侵害。
石內卜,附子和狼毒是同一種植物，也叫附子。
妙麗,當煙霧變成紅色時，就代表你忘了什麼。
哈利,「據信是黑巫師或女巫所為，古靈閣妖精雖然承認有違規行為，但堅稱沒有任何東西被拿走。
哈利,那是我和海格去過的金庫。
霍奇女士；“把你的右手放在掃帚上，然後說,“起來。””
奈威,倒下，倒下！
馬份,你看到他的臉了嗎？
馬份,也許如果那塊肥肉擠壓了這個，他就會記得倒在他肥肥的屁股上。
妙麗,你聽到霍奇太太說的話了。
妙麗,而且，你甚至不知道怎麼飛。
馬份,是這樣嗎？
馬份,那就隨你的吧。
羅恩,但是一年級的學生從來沒有進入過他們的學院球隊！
喬治,當然不能做出任何承諾。
妙麗,你不會出醜的。
妙麗,它就在你的血液裡。
妙麗,樓梯變了，還記得嗎？
羅恩,有人覺得……我們不應該在這裡嗎？
妙麗,這是三樓。
羅恩,就這樣，我們完了！
妙麗,哦，走開！
費爾奇,有人在嗎，親愛的？快點。
