姓名,性別,角色,學院,魔杖,血液狀況,技能
哈利·波特,男性,學生,葛萊分多,"11"" 冬青鳳凰羽毛",混血,蛇佬腔|黑魔法防禦術 |探索者
榮恩·衛斯理,男性,學生|哈利波特最好的朋友,葛萊分多,"12"" 灰獨角獸尾毛",純血統,巫師棋|魁地奇守門員
妙麗·格蘭傑,女性,學生|哈利波特最好的朋友,葛萊分多,"10⁄4"" 藤木龍心弦",麻瓜出身,幾乎所有的
阿不思·鄧不利多,男性,校長|哈利波特最喜歡的教授,葛萊分多,"15"" 夜騏長老尾毛芯",混血,被許多人認為是他那個時代最強大的巫師之一
魯伯·海格,男性,鑰匙與場地的守護者 |神奇動物保護教授,葛萊分多,"16"" 未知橡木芯",半人（半巨人）, 
奈威·隆巴頓,男性,學生,葛萊分多,13吋櫻桃獨角獸毛,純血統,草藥學
弗雷·衛斯理,男性,學生,葛萊分多,未知,純血統,打手
喬治·衛斯理,男性,學生,葛萊分多,未知,純血統,打手
金妮·衛斯理,女性,學生,葛萊分多,未知,純血統,追擊者|蝙蝠柏忌六角形
丁·湯瑪斯,男性,學生,葛萊分多,未知,麻瓜出身,追擊者
西莫·斐你干,男性,學生,葛萊分多,未知,混血,煙火
莉莉·波特,女性,哈利波特的母親,葛萊分多,"10¼"" 柳未知芯",麻瓜出身,
詹姆斯·波特,男性,哈利波特的父親,葛萊分多,"11"" 桃花心木未知芯",純血統,阿尼瑪格斯|探索者
天狼星·布萊克,男性,詹姆斯·波特的摯友|哈利波特的教父,葛萊分多,未知,純血統,阿尼瑪格斯|非語言魔法|護身符
雷木思·盧平,男性,黑魔法防禦術教授,葛萊分多,"10¼"" 絲柏獨角獸毛",混血,在黑魔法防禦方面具有非凡的天賦
彼得·佩迪魯,男性,佛地魔的僕人,葛萊分多,"9¼"" 栗色龍心弦",混血或純血,阿尼瑪格斯
派西·衛斯理,男性,學生|級長|老巴蒂·克勞奇的私人助理,葛萊分多,未知,純血統,智能化|勤奮|模範學生
查理‧衛斯理,男性,龍學家,葛萊分多,"12"" 灰獨角獸尾毛",純血統,高超的馴龍師|曾經的葛萊分多找球手
科林·克利維,男性,學生,葛萊分多,未知,麻瓜出身,攝影
麥教授,女性,變形學教授 |葛萊分多院長,葛萊分多,"9½"" 杉龍心弦",混血,阿尼瑪格斯
茉莉‧衛斯理,女性,榮恩的母親,葛萊分多,未知,純血統,家庭咒語|治癒魔法
亞瑟‧衛斯理,男性,榮恩的父親|濫用麻瓜文物辦公室主任,葛萊分多,未知,純血統,麻瓜世界運作
張秋,女性,哈利波特的前女友|學生,拉文克勞,未知,純血或混血,探索者
露娜·羅古德,女性,哈利波特的朋友|學生,拉文克勞,未知,純血或混血,發現納格爾斯
西碧·崔老妮,女性,占卜學教授,拉文克勞,½” 榛色獨角獸髮芯,混血,先知，儘管天賦是不可預測且無意識的
